county_id,accuracy,recession_lead_time,committee_lead_time
42049,13,6,107
42051,14,7,123
42053,12,7,55
42055,15,5,92
42057,9,4,123
42059,12,3,117
42061,8,1,55
42063,11,6,123
42065,15,8,123
42067,11,3,80
42069,10,0,92
42071,15,-1,112
42073,11,2,80
42075,16,-1,122
42077,14,4,77
42079,13,5,92
42081,11,2,107
42083,9,0,55
42085,13,-3,110
42087,8,2,107
42089,14,4,92
42091,22,-5,129
42093,8,-2,69
42095,10,4,92
42097,11,2,107
42099,13,6,107
42101,24,-9,134
42103,13,2,107
42105,6,0,89
42107,10,1,92
42109,5,0,55
42111,21,-2,107
42113,12,5,55
42115,12,2,107
42117,6,0,122
42119,18,4,121
42121,16,4,121
42123,13,2,107
42125,10,1,92
42127,31,-2,98
42129,11,5,107
42131,12,3,107
42133,31,-2,98
44001,13,2,107
44003,13,6,92
44005,17,-1,110
44007,17,8,92
44009,15,2,92
45001,16,-3,122
45005,15,3,107
45007,19,-9,112
45009,15,8,92
45011,25,3,132
45013,12,-2,122
45017,17,2,122
45019,12,-2,92
45021,13,3,107
45023,12,-4,122
45025,17,-4,132
45027,20,6,143
45029,17,8,92
45031,18,8,107
45033,13,6,107
45035,14,0,92
45037,19,-7,112
45039,10,-3,107
45041,21,-5,132
45043,16,6,107
45045,19,-9,112
45047,14,-4,122
45049,22,12,107
45051,14,8,123
45053,19,6,92
45055,15,8,107
45057,16,10,107
45059,17,1,112
45061,17,-1,143
45063,22,-9,122
45065,16,-2,132
45067,14,4,107
45069,19,-3,122
45071,12,-2,156
45073,15,-1,112
45075,15,8,92
45077,17,1,122
45079,20,0,122
45081,15,-5,122
45083,19,1,122
45085,17,9,107
45087,21,-6,77
45089,17,9,107
45091,23,10,92
46003,19,-6,60
46005,15,-2,62
46007,7,-6,80
46009,17,-8,90
46011,6,-6,111
46013,11,1,68
46015,19,-1,62
46017,10,-6,119
46019,13,3,92
46021,14,-7,75
46023,10,-6,66
46025,15,-2,90
46027,12,-11,133
46029,14,1,77
46031,9,-9,92
46033,14,5,67
46035,14,0,71
48127,16,-7,119
48129,11,-6,126
48131,27,-4,137
48133,21,-12,121
48135,29,-3,144
48137,18,1,106
48139,25,-5,112
48141,13,-8,102
48143,13,0,163
48145,17,-6,121
48147,23,-4,102
48149,12,-5,123
48151,15,-7,91
48153,13,1,112
48155,17,7,123
48157,15,-12,143
48159,18,-9,106
48161,24,-7,121
48163,22,-3,129
48165,13,-5,126
48167,21,-18,121
48169,19,0,122
48171,17,-12,98
48173,16,1,105
48175,18,-8,122
48177,17,-5,129
48179,16,-14,83
48181,35,-5,102
48183,27,-7,114
48185,15,0,126
48187,25,-19,129
48189,15,-2,102
48191,17,-7,124
48193,4,0,62
48195,14,-13,114
48197,13,8,95
48199,19,-1,164
48201,21,-18,121
48203,21,-4,121
48205,12,-7,101
48207,13,-2,77
48209,13,-7,126
48211,14,-7,111
48213,17,-11,121
48215,16,0,137
48217,19,-2,102
48219,26,-7,143
48221,19,-3,102
48223,17,-3,92
48225,21,-18,121
48227,16,-15,133
48229,14,-12,143
48231,28,-7,121
48233,19,-6,121
48235,17,-6,129
48237,15,-14,149
48239,19,-6,129
48241,24,0,122
48243,8,-10,104
48245,13,11,159
48247,16,0,126
48249,26,-6,137
48251,15,-9,102
48253,21,-21,121
48255,22,-8,114
48257,25,-7,129
48259,24,-20,143
48261,16,1,178
48263,13,7,55
48265,22,-18,121
48267,17,-4,114
48269,8,-1,69
48271,14,2,107
48273,17,-3,143
48275,24,-6,102
48277,28,-15,112
48279,17,-4,77
48281,17,-9,143
48283,25,-7,119
48285,20,-1,106
48287,21,-2,102
48289,21,-4,129
48291,19,-3,136
48293,23,-8,114
48295,15,-3,84
48297,19,-16,121
48299,16,-10,106
48301,10,7,215
48303,17,-3,114
48305,14,-7,112
48307,5,-9,153
48309,17,-7,102
48311,14,-9,78
48313,13,0,126
48315,22,1,133
48317,17,-15,135
48319,18,-1,106
48321,13,2,135
48323,15,7,123
48325,32,-8,121
48327,14,-3,68
48329,12,-7,113
48331,14,-2,154
48333,13,-3,102
48335,19,-2,102
48337,19,-9,98
48339,25,-19,129
48341,18,-15,121
48343,30,-5,113
48345,19,-5,112
48347,11,1,126
48349,17,0,132
48351,16,9,107
48353,19,-13,123
48355,23,-8,121
48357,17,-5,153
48359,14,-3,112
48361,15,2,121
48363,28,-17,121
48365,15,0,112
51109,17,-1,77
51111,15,0,62
51113,19,-4,62
51115,15,-1,77
51117,17,5,62
51119,14,0,92
51121,40,-33,121
51125,20,3,77
51127,33,-1,92
51131,15,2,107
51133,14,3,107
51135,17,-7,62
51137,25,-13,90
51139,16,9,123
51141,21,1,77
51143,19,6,77
51145,27,-6,62
51147,11,-6,123
51149,29,-24,121
51153,50,-19,121
51155,10,3,123
51157,23,-6,80
51159,25,-2,62
51161,25,-6,62
51163,15,0,77
51165,29,2,62
51167,14,7,107
51169,20,-4,101
51171,22,-3,62
51173,19,3,107
51175,14,4,77
51177,24,-11,100
51179,36,-13,100
51181,11,-5,102
51183,17,3,77
51185,12,2,121
51187,21,-2,77
51191,19,-2,129
51193,13,3,107
51195,17,-3,77
51197,14,-3,143
51199,25,-6,100
51510,19,-2,129
51520,22,-3,143
51530,19,-1,77
51540,17,2,111
51550,21,3,62
51570,25,-2,62
51580,16,3,121
51590,14,1,92
51595,15,1,62
51600,56,-30,112
51610,25,-6,62
51620,20,3,77
51630,19,3,62
51640,14,-5,102
51650,22,-3,62
51660,29,2,62
51670,16,2,62
51678,8,-2,68
51680,12,4,77
51683,21,-3,77
51685,21,-6,100
51690,12,-1,77
51700,20,-3,62
51710,20,-3,62
51720,15,3,92
51730,12,0,77
51735,25,-11,141
51740,17,3,62
51750,19,-7,102
51760,25,-2,62
51770,25,-6,62
51775,33,-2,102
51790,25,-6,62
51800,23,-7,111
51810,20,-3,62
51820,17,4,62
51830,14,5,77
51840,21,5,62
53001,14,7,92
53003,12,-6,80
53005,17,-3,90
53007,15,6,123
53009,10,1,80
53011,11,-3,62
53013,16,-6,112
53015,11,-2,77
53017,12,1,123
53019,12,-10,56
53021,14,8,90
53023,10,2,75
53025,14,7,92
53027,14,-6,75
53029,13,-2,77
53031,15,-10,67
53033,26,-21,102
53035,15,-13,70
53037,11,0,107
53039,14,4,107
53041,17,-2,90
53043,15,7,107
53045,13,-7,80
53047,13,7,90
53049,19,0,90
53051,11,2,55
53053,11,-4,61
53055,14,-5,75
53057,14,5,107
53059,14,4,107
53061,29,-17,121
53063,10,-1,107
53065,13,5,102
53067,12,-5,77
53069,10,0,107
53071,13,4,80
53073,10,-3,92
53075,12,-10,114
53077,15,7,123
54001,8,0,55
56029,12,6,90
56031,11,3,122
56033,13,3,123
56035,15,3,138
56037,19,-2,121
56039,12,7,98
56041,14,1,92
56043,13,2,107
56045,13,2,81
06069,12,4,107
06071,14,-5,101
06073,29,0,101
06075,36,-2,123
06077,12,4,107
06079,26,-3,70
06081,36,-2,123
06083,19,1,90
06085,40,9,77
06087,15,6,123
06089,13,-2,89
06091,12,5,107
06093,11,6,123
06095,23,0,90
06097,24,0,101
06099,12,4,107
06101,12,6,123
06103,11,2,107
06105,11,5,90
06107,12,6,123
06109,10,2,80
06111,13,-2,90
06113,7,-1,80
06115,12,6,123
08001,24,-2,92
08003,19,8,107
08005,30,0,169
08007,17,4,107
08009,17,5,92
08011,17,-3,92
08013,29,-4,77
08014,31,-5,77
08015,22,-4,90
08017,17,0,60
08019,19,-10,124
